Descricao,Valor
ANTIBIOGRAMA C/ CONCENTRAÇÃO INIBITORIA MÍNIMA,"13,33"
ANTIBIOGRAMA P/ MICOBACTÉRIAS,"13,33"
ANTIBIOTICOTERAPIA PARENTERAL,"0,00"
ANTROSTOMIA DE MAXILA INTRANASAL,"44,34"
ANTROSTOMIA DA MASTOIDE (DRENAGEM DE OTITE NO LACTENTE),"295,09"
AORTOGRAFIA ABDOMINAL,"189,73"
AORTOGRAFIA TORÁCICA,"170,44"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO DE CONDUCAO ÓSSEA CONVENCIONAL TIPO A,"500,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO DE CONDUCAO ÓSSEA RETROAURICULAR TIPO,"500,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO A,"525,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO B,"700,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRA-AURICULAR TIPO C,"1.100,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO A,"525,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO B,"700,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO INTRACANAL TIPO C,"1.100,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO A,"525,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO B,"700,00"
APARELHO DE AMPLIFICAÇÃO SONORA INDIVIDUAL (AASI) EXTERNO MICROCANAL TIPO C,"1.100,00"
