CÓLERA,A00
DIABETES MELLITUS RELACIONADO COM A DESNUTRIÇÃO,E12
OUTROS TIPOS ESPECIFICADOS DE DIABETES MELLITUS,E13
DIABETES MELLITUS NÃO ESPECIFICADO,E14
COMA HIPOGLICÊMICO NÃO-DIABÉTICO,E15
OUTROS TRANSTORNOS DA SECREÇÃO PANCREÁTICA INTERNA,E16
HIPOPARATIREOIDISMO,E20
HIPERPARATIREOIDISMO E OUTROS TRANSTORNOS DA GLÂNDULA PARATIREÓIDE,E21
HIPERFUNÇÃO DA HIPÓFISE,E22
HIPOFUNÇÃO E OUTROS TRANSTORNOS DA HIPÓFISE,E23
SÍNDROME DE CUSHING,E24
TRANSTORNOS ADRENOGENITAIS,E25
HIPERALDOSTERONISMO,E26
OUTROS TRANSTORNOS DA GLÂNDULA SUPRA-RENAL,E27
DISFUNÇÃO OVARIANA,E28
DISFUNÇÃO TESTICULAR,E29
TRANSTORNOS DA PUBERDADE NÃO CLASSIFICADOS EM OUTRA PARTE,E30
DISFUNÇÃO POLIGLANDULAR,E31
DOENÇAS DO TIMO,E32
OUTROS TRANSTORNOS ENDÓCRINOS,E34
TRANSTORNOS DAS GLÂNDULAS ENDÓCRINAS EM DOENÇAS CLASSIFICADAS EM OUTRA PARTE,E35
KWASHIORKOR,E40
MARASMO NUTRICIONAL,E41
KWASHIORKOR MARASMÁTICO,E42
DESNUTRIÇÃO PROTÉICO-CALÓRICA GRAVE NÃO ESPECIFICADA,E43
DESNUTRIÇÃO PROTÉICO-CALÓRICA DE GRAUS MODERADO E LEVE,E44
ATRASO DO DESENVOLVIMENTO DEVIDO À DESNUTRIÇÃO PROTÉICO-CALÓRICA,E45
DESNUTRIÇÃO PROTÉICO-CALÓRICA NÃO ESPECIFICADA,E46
DEFICIÊNCIA DE VITAMINA A,E50
DEFICIÊNCIA DE TIAMINA,E51
DEFICIÊNCIA DE NIACINA [PELAGRA],E52
DEFICIÊNCIA DE OUTRAS VITAMINAS DO GRUPO B,E53
DEFICIÊNCIA DE ÁCIDO ASCÓRBICO,E54
DEFICIÊNCIA DE VITAMINA D,E55
OUTRAS DEFICIÊNCIAS VITAMÍNICAS,E56
DEFICIÊNCIA DE CÁLCIO DA DIETA,E58
DEFICIÊNCIA DE SELÊNIO DA DIETA,E59
DEFICIÊNCIA DE ZINCO DA DIETA,E60
DEFICIÊNCIA DE OUTROS ELEMENTOS NUTRIENTES,E61
OUTRAS DEFICIÊNCIAS NUTRICIONAIS,E63
SEQÜELAS DE DESNUTRIÇÃO E DE OUTRAS DEFICIÊNCIAS NUTRICIONAIS,E64
ADIPOSIDADE LOCALIZADA,E65
OBESIDADE,E66
OUTRAS FORMAS DE HIPERALIMENTAÇÃO,E67
SEQÜELAS DE HIPERALIMENTAÇÃO,E68
DISTÚRBIOS DO METABOLISMO DE AMINOÁCIDOS AROMÁTICOS,E70
